"Edicao (PTBR)","Edicao (EN)","Edicao (Sigla)","Card (PT)","Card (EN)","Quantidade","Qualidade (M NM SP MP HP D)","Idioma (BR EN DE ES FR IT JP KO RU TW)","Raridade (M R U C)","Cor (W U B R G M A L)","Extras","Card #","Comentario"
"Adventures in the Forgotten Realms (Variantes)","Adventures in the Forgotten Realms (Variants)","cbafr","Golem de Ferro","Iron Golem","1","M","EN","U","A","","348",""
"Adventures in the Forgotten Realms (Variantes)","Adventures in the Forgotten Realms (Variants)","cbafr","Gretchen Salgueirinha","Gretchen Titchwillow","1","M","EN","U","M","","340",""
"Adventures in the Forgotten Realms (Variantes)","Adventures in the Forgotten Realms (Variants)","cbafr","Guia Pixie","Pixie Guide","1","M","EN","C","U","","309",""
"Adventures in the Forgotten Realms (Variantes)","Adventures in the Forgotten Realms (Variants)","cbafr","Hama Pashar, Buscadora de Ruinas","Hama Pashar, Ruin Seeker","1","M","EN","U","M","","341",""
"Adventures in the Forgotten Realms (Variantes)","Adventures in the Forgotten Realms (Variants)","cbafr","Instrumento dos Bardos","Instrument of the Bards","1","M","EN","R","G","","385",""
"Adventures in the Forgotten Realms (Variantes)","Adventures in the Forgotten Realms (Variants)","cbafr","Inumano","Wight","1","NM","EN","R","B","","316",""
"Adventures in the Forgotten Realms (Variantes)","Adventures in the Forgotten Realms (Variants)","cbafr","Kalain, Pintora Reclusa","Kalain, Reclusive Painter","1","M","EN","U","M","","342",""
"Adventures in the Forgotten Realms (Variantes)","Adventures in the Forgotten Realms (Variants)","cbafr","Krydle do Portal de Baldur","Krydle of Baldur's Gate","1","M","EN","U","M","","343",""
"Adventures in the Forgotten Realms (Variantes)","Adventures in the Forgotten Realms (Variants)","cbafr","Manticora","Manticore","1","M","EN","C","B","","314",""
"Adventures in the Forgotten Realms (Variantes)","Adventures in the Forgotten Realms (Variants)","cbafr","Mimico","Mimic","1","M","EN","C","A","","349",""
"Adventures in the Forgotten Realms (Variantes)","Adventures in the Forgotten Realms (Variants)","cbafr","Monstro da Ferrugem","Rust Monster","1","M","EN","U","R","","321",""
"Adventures in the Forgotten Realms (Variantes)","Adventures in the Forgotten Realms (Variants)","cbafr","Observador Funesto","Baleful Beholder","1","M","EN","C","B","","311",""
"Adventures in the Forgotten Realms (Variantes)","Adventures in the Forgotten Realms (Variants)","cbafr","Olho de Vecna","Eye of Vecna","1","M","EN","R","A","","393",""
"Adventures in the Forgotten Realms (Variantes)","Adventures in the Forgotten Realms (Variants)","cbafr","Pantera Deslocadora","Displacer Beast","1","M","EN","U","U","","305",""
"Adventures in the Forgotten Realms (Variantes)","Adventures in the Forgotten Realms (Variants)","cbafr","Pegaso de Arborea","Arborea Pegasus","1","M","EN","C","W","","299",""
"Adventures in the Forgotten Realms (Variantes)","Adventures in the Forgotten Realms (Variants)","cbafr","Polimorfia Total","True Polymorph","1","NM","EN","R","U","","369",""
"Adventures in the Forgotten Realms (Variantes)","Adventures in the Forgotten Realms (Variants)","cbafr","Shessra, Sussurrante da Morte","Shessra, Death's Whisper","1","M","EN","U","M","","345",""
"Adventures in the Forgotten Realms (Variantes)","Adventures in the Forgotten Realms (Variants)","cbafr","Templo da Rainha Dragao","Temple of the Dragon Queen","1","M","EN","U","L","","357",""
"Adventures in the Forgotten Realms (Variantes)","Adventures in the Forgotten Realms (Variants)","cbafr","Terras em Desenvolvimento","Evolving Wilds","1","M","EN","C","L","","353",""
"Adventures in the Forgotten Realms (Variantes)","Adventures in the Forgotten Realms (Variants)","cbafr","Tiamat","Tiamat","1","NM","EN","M","M","Foil","298",""
"Adventures in the Forgotten Realms (Variantes)","Adventures in the Forgotten Realms (Variants)","cbafr","Trelasarra, Dancarina da Lua","Trelasarra, Moon Dancer","1","M","EN","U","M","","346",""
"Adventures in the Forgotten Realms (Variantes)","Adventures in the Forgotten Realms (Variants)","cbafr","Trol Odioso","Loathsome Troll","1","M","EN","U","G","","327",""
"Adventures in the Forgotten Realms (Variantes)","Adventures in the Forgotten Realms (Variants)","cbafr","Unicornio Celestial","Celestial Unicorn","1","M","EN","C","W","","301",""
"Adventures in the Forgotten Realms (Variantes)","Adventures in the Forgotten Realms (Variants)","cbafr","Urso-coruja","Owlbear","1","M","EN","C","G","","331",""
"Adventures in the Forgotten Realms (Variantes)","Adventures in the Forgotten Realms (Variants)","cbafr","Varis, Guardiao de Lua Argentea","Varis, Silverymoon Ranger","1","M","EN","R","G","","335",""
"Adventures in the Forgotten Realms (Variantes)","Adventures in the Forgotten Realms (Variants)","cbafr","Verme Purpura","Purple Worm","1","M","EN","U","G","","332",""
"Adventures in the Forgotten Realms (Variantes)","Adventures in the Forgotten Realms (Variants)","cbafr","Volo, Guia dos Monstros","Volo, Guide to Monsters","1","M","EN","R","M","","347",""
"Adventures in the Forgotten Realms (Variantes)","Adventures in the Forgotten Realms (Variants)","cbafr","Yuan-Ti Mestico","Yuan-Ti Malison","1","NM","EN","R","U","","371",""
"Adventures in the Forgotten Realms (Variantes)","Adventures in the Forgotten Realms (Variants)","cbafr","Zagaieiro Goblin","Goblin Javelineer","1","M","EN","C","R","","318",""
